"BG1100007985"	"EKIP-98 HLDG AD      BW 1"	"WPR"
"BG11BESTAT15"	"MASHPROEKTENGINEERING BW1"	"WPR"
"BG11EMTOAT16"	"EMPI AD            BW 3,1"	"WPR"
"BG11RODOAT17"	"RODINA-91 AD         BW 1"	"WPR"
"BG11VEPLAT12"	"VEGA AD            BW 4,1"	"WPR"
"BG11SUSUVT18"	"SHUMEN-TABAC AD      BW 1"	"WPR"
"BG1100022083"	"LOVECH-TOURS AD      BW 1"	"WPR"
"BG11ORBAAT15"	"ORFEY-B AD           BW 2"	"WPR"
"BG1100034989"	"SEVER HOLDING AD     BW 1"	"WPR"
"BG11FIPLAT18"	"FILTEX AD            BW 1"	"WPR"
"BG11ALSOAT12"	"ALBA VIA AD          BW 1"	"WPR"
"BG11BIVAAT17"	"BIOECO AD            BW 1"	"WPR"
"BG11PTLOBT13"	"PTITZEVADSTVO-LOMTZI BW 1"	"WPR"
"BG1100024089"	"MBE-GARA HITRINO B   BW 1"	"WPR"
"BG11SLSLAT15"	"SLIVNITZA - 1968 AD  BW 1"	"WPR"
"BG11REGAAT12"	"RECORD JSC           BW 5"	"WPR"
"BG1100104980"	"ZENIT AGROHOLDING AD BW 1"	"WPR"
"BG1100069985"	"CHERNOMORSKI HLDG AD BW 4"	"WPR"
"BG11BADOAT11"	"BULGARSKA ZAHAR AD   BW 1"	"WPR"
"BG11DODOVT18"	"DOBROTITSA-BSK AD    BW 1"	"WPR"
"BG11INELAT11"	"INTERIOR CO.         BW 1"	"WPR"
"BG11VEORAT17"	"VENEC AD             BW 2"	"WPR"
"BG11KOSVAT18"	"KOPRINA AD           BW 1"	"WPR"
"BG11ZKKOAT12"	"EKOTAB AD-KOCHERINOVO BW1"	"WPR"
"BG11ZAASAT12"	"ZAVOD ZA SHLIFOVACHMI BW1"	"WPR"
"BG1100080982"	"HLD CENTER AD-STARA ZAGOR"	"WPR"
"BG1100053039"	"PANGAEA AD           BW 1"	"WPR"
"BG1100057980"	"NIKOTIANA BT HLDG AD BW 1"	"WPR"
"BG11KNKNAT17"	"KNEZIM JSC           BW 1"	"WPR"
"BG11SMSOAT11"	"SMP-BUCHOVO AD     BW 3,8"	"WPR"
"BG1100050985"	"KOM HLDG AD-DIMITROV. BW1"	"WPR"
"BG1100124079"	"RILSKI LEN SA        BW 1"	"WPR"
"BG11VISLBT14"	"VITAPROT-SLAVYANOVO  BW 1"	"WPR"
"BG11STPOAT17"	"STEEL PROFILES AD    BW 1"	"WPR"
"BG11VESTVT16"	"VEREYA-TOUR AD       BW 1"	"WPR"
"BG11ZAPEAT11"	"WELDING MACHINES JSC BW 1"	"WPR"
"BG11CUIHAT10"	"CHUGUNOLEENE AD      BW 1"	"WPR"
"BG1100003984"	"GARANT INVEST HLGD   BW 1"	"WPR"
"BG1100091062"	"PRIME TURIST AD    BW 100"	"WPR"
"BG11VUPOAT19"	"RECYCLING TECHNOLOGIE BW1"	"WPR"
"BG11STGLAT11"	"STROYTECHNIKA AD     BW 2"	"WPR"
"BG11VIVIBT14"	"VIDACHIM PLC         BW 1"	"WPR"
"BG11AKDOAT10"	"AKUMPLAST AD         BW 7"	"WPR"
"BG11MEYBAT14"	"METALIC AD           BW 1"	"WPR"
"BG11KOKYAT13"	"KYUSTENDIL INDUS.PARK BW1"	"WPR"
"BG1100008975"	"BULVESTA HLDG AD     BW 1"	"WPR"
"BG11MEKAAT11"	"METALOPACK AD        BW 2"	"WPR"
"BG1100072013"	"SVINECOMPLEX-NIKOLOVO BW1"	"WPR"
"BG11VRVRAT13"	"VRATITZA AD          BW 1"	"WPR"
"BG11B1SOAT19"	"BULGARIA-29 AD       BW 1"	"WPR"
"BG11TRSTAT10"	"TRAKIYSKI PAMUK AD   BW 1"	"WPR"
"BG1100006987"	"OREL INVEST AD       BW 1"	"WPR"
"BG1100066981"	"IZOTSERVICE HLDG AD  BW 1"	"WPR"
"BG11POTVAT12"	"POBEDA-TV AD       BW 6,4"	"WPR"
"BG11ENSOAT16"	"ENERGOCABLE AD I.L.  BW 1"	"WPR"
"BG1100068987"	"NASH DOM-BULGARIA    BW 1"	"WPR"
"BG11STPEAT19"	"STOMANA AD           BW 1"	"WPR"
"BG11PIRAAT17"	"PIRINHART JSC        BW 1"	"WPR"
"BG1100016986"	"DOBRUDJA HOLDING AD  BW 1"	"WPR"
"BG1100058988"	"HLDG NOV VEK AD-SOF. BW 1"	"WPR"
"BG11MEKABT10"	"MESOKOMBINAT KAZANL. BW 3"	"WPR"
"BG11KYKYAT11"	"KYUSTENDILSKI PLOD   BW 1"	"WPR"
"BG1100021085"	"ORANZHERII AD I.K.   BW 1"	"WPR"
"BG11HAHABT16"	"HASKOVO-TABAC AD     BW 1"	"WPR"
"BG11TERAAT17"	"BESTTECHNICA TM-RAD. BW 1"	"WPR"
"BG1100023081"	"MALAK ISKAR AD-DZHUR. /IN LIQ/"	"WPR"
"BG1100038006"	"STROITELNA MEHANIZTC.BW 2"	"WPR"
"BG11LUSTAT13"	"KORADO BULGARIA AD   BW 1"	"WPR"
"BG1100021051"	"TRANSCARD AD         BW 1"	"WPR"
"BG11MEBUBT17"	"MESOKOMBINAT BOURGAS BW 1"	"WPR"
"BG11ASASVT16"	"ASENOVGRAD TABAC AD  BW 1"	"WPR"
"BG11IMSOAT13"	"IMMI AD              BW 1"	"WPR"
"BG11PUPLDT17"	"PULDIN-ER AD         BW 1"	"WPR"
"BG11DUDUBT16"	"DUPNITSA-TABAC AD    BW 1"	"WPR"
"BG11VIASAT18"	"VINZAVOD ASENOVGRAD  BW 1"	"WPR"
"BG1100023024"	"METRON AD            BW 1"	"WPR"
"BG11SVSTBT14"	"SVINEVADSTVO-STAMBOL.BW 1"	"WPR"
"BG11MEISAT15"	"METALOKERAMIKA AD    BW 2"	"WPR"
"BG11NEGAAT16"	"NEZAVISIMOST-40 AD   BW 1"	"WPR"
"BG1100003034"	"INTERSTANDARTS AD    BW 1"	"WPR"
"BG11LOTRAT12"	"LOTOS AD             BW 1"	"WPR"
"BG11KMSUAT11"	"KMM AD-SHUMEN        BW 1"	"WPR"
"BG1100015988"	"HD DUNAV AD-VRATSA   BW 1"	"WPR"
"BG11ZSBUAT17"	"ZSK - LOZOVO AD      BW 1"	"WPR"
"BG11KRPLAT10"	"KREPEZNI IZDELIA     BW 1"	"WPR"
